ascii_name,description,genus_pk,id,iso_codes,jsondata,latitude,longitude,macroarea,markup_description,name,pk,samples_100,samples_200
aari,,2,aar,aiw,{},6,36.58333333,Africa,,Aari,2,FALSE,FALSE
abau,,3,aba,aau,{},-4,141.25,Papunesia,,Abau,3,FALSE,FALSE
abaza,,7,abz,abq,{},44,42,Eurasia,,Abaza,16,FALSE,FALSE
abenaki western,,13,abw,abe,{},44,-72.25,North America,,Abenaki (Western),15,FALSE,FALSE
abidji,,5,abd,abi,{},5.666666667,-4.583333333,Africa,,Abidji,5,FALSE,FALSE
abipon,,6,abi,axb,{},-29,-61,South America,,Abipón,8,FALSE,TRUE
abkhaz,,7,abk,abk,{},43.08333333,41,Eurasia,,Abkhaz,9,TRUE,TRUE
abui,,12,abv,abz,{},-8.25,124.6666667,Papunesia,,Abui,14,FALSE,FALSE
abun,,11,abu,kgr,{},-0.5,132.5,Papunesia,,Abun,13,FALSE,FALSE
acehnese,,14,ace,ace,{},5.5,95.5,Eurasia,,Acehnese,17,FALSE,FALSE
achagua,,15,acg,aca,{},4.416666667,-72.25,South America,,Achagua,18,FALSE,FALSE
achang,,20,acn,acn,{},25,98.5,Eurasia,,Achang,23,FALSE,FALSE
ache,,16,ach,guq,{},-25.25,-55.16666667,South America,,Aché,19,FALSE,FALSE
achi,,17,aci,acr,{},15.16666667,-90.5,North America,,Achí,20,FALSE,FALSE
acholi,,18,acl,ach,{},3,32.66666667,Africa,,Acholi,21,FALSE,FALSE
achuar,,22,acu,acu,{},-2.66667,-76,South America,,Achuar,25,FALSE,FALSE
achumawi,,19,acm,acv,{},41.5,-121,North America,,Achumawi,22,FALSE,FALSE
acoma,,21,aco,kjq,{},34.91666667,-107.5833333,North America,,Acoma,24,TRUE,TRUE
adamorobe sign language,,23,ada,ads,{},5.833333333,-0.166666667,Africa,,Adamorobe Sign Language,26,FALSE,FALSE
adang,,12,adg,adn,{},-8.2,124,Papunesia,,Adang,27,FALSE,FALSE
adioukrou,,5,adi,adj,{},5.416666667,-4.583333333,Africa,,Adioukrou,28,FALSE,FALSE
adyghe abzakh,,7,ady,ady,{},45.23333333,40.58333333,Eurasia,,Adyghe (Abzakh),32,FALSE,FALSE
adyghe shapsugh,,7,ash,ady,{},45,38.75,Eurasia,,Adyghe (Shapsugh),152,FALSE,FALSE
adyghe temirgoy,,7,adt,ady,{},45.21666667,39.7,Eurasia,,Adyghe (Temirgoy),31,FALSE,FALSE
adynyamathanha,,9,adn,adt,{},-30.5,139.5,Australia,,Adynyamathanha,30,FALSE,FALSE
adzera,,25,adz,adz,{},-6.25,146.25,Papunesia,,Adzera,33,FALSE,FALSE
aekyom,,94,awi,awi,{},-5.75,141.4166667,Papunesia,,Aekyom,181,FALSE,FALSE
afrikaans,,27,afr,afr,{},-31,22,Africa,,Afrikaans,37,FALSE,FALSE
agarabi,,28,aga,agd,{},-6.166666667,146,Papunesia,,Agarabi,38,FALSE,FALSE
aghem,,31,agh,agq,{},6.666666667,10,Africa,,Aghem,42,FALSE,FALSE
aghu,,38,ahu,ahh,{},-6.166666667,140.1666667,Papunesia,,Aghu,53,FALSE,FALSE
aghul,,32,agl,agx,{},41.75,47.66666667,Eurasia,,Aghul,43,FALSE,FALSE
agta central,,30,agc,agt,{},17.96666667,121.8333333,Papunesia,,Agta (Central),40,FALSE,FALSE
agta dupaningan,,30,agd,duo,{},18,122.0833333,Papunesia,,Agta (Dupaningan),41,FALSE,FALSE
aguacatec,,17,agu,agu,{},15.41666667,-91.33333333,North America,,Aguacatec,48,FALSE,FALSE
aguaruna,,22,agr,agr,{},-5,-78,South America,,Aguaruna,46,FALSE,FALSE
ahtna,,37,aht,aht,{},62,-145,North America,,Ahtna,52,FALSE,FALSE
aikana,,39,aik,tba,{},-12.66666667,-60.66666667,South America,,Aikaná,54,FALSE,FALSE
ainu,,40,ain,ain,{},43,143,Eurasia,,Ainu,55,FALSE,TRUE
aizi,,41,aiz,ahp,{},5.25,-4.5,Africa,,Aizi,56,FALSE,FALSE
aja,,42,aja,aja,{},7.333333333,25.66666667,Africa,,Aja,57,FALSE,FALSE
ajagbe,,5,ajg,ajg,{},7,1.75,Africa,,Ajagbe,58,FALSE,FALSE
ajie,,25,aji,aji,{},-21.33333333,165.5,Papunesia,,Ajië,59,FALSE,FALSE
aka,,31,aka,axk,{},2.666666667,16.25,Africa,,Aka,60,FALSE,FALSE
akabiada,,43,akb,abj,{},11.66666667,92.5,Eurasia,,Aka-Biada,61,FALSE,FALSE
akacari,,43,akc,aci,{},13.5,93,Eurasia,,Aka-Cari,62,FALSE,FALSE
akakede,,43,akk,akx,{},12.75,92.75,Eurasia,,Aka-Kede,64,FALSE,FALSE
akan,,5,akn,aka,{},6.5,-1.25,Africa,,Akan,67,FALSE,FALSE
akawaio,,45,akw,ake,{},6,-59.5,South America,,Akawaio,70,FALSE,FALSE
akha,,20,akh,ahk,{},21.83333333,99.83333333,Eurasia,,Akha,63,FALSE,FALSE
akhvakh,,74,axv,akv,{},42.33333333,46.33333333,Eurasia,,Akhvakh,187,FALSE,FALSE
aklanon,,30,akl,akl,{},11.58333333,122.3333333,Papunesia,,Aklanon,65,FALSE,FALSE
akwa,,62,awk,png,{},10.08333333,6.333333333,Africa,,Akwa,182,FALSE,FALSE
alaala,,25,all,nrz,{},-8.916666667,146.75,Papunesia,,Ala'ala,78,FALSE,FALSE
alabama,,8,abm,akz,{},32.33333333,-87.41666667,North America,,Alabama,10,FALSE,FALSE
alagwa,,36,agw,wbj,{},-5.5,35.75,Africa,,Alagwa,49,FALSE,FALSE
alamblak,,46,ala,amp,{},-4.666666667,143.3333333,Papunesia,,Alamblak,71,TRUE,TRUE
alas,,53,alx,btz,{},3.666666667,97.83333333,Papunesia,,Alas,84,FALSE,FALSE
alawa,,52,alw,alh,{},-15.16666667,134.25,Australia,,Alawa,83,FALSE,FALSE
albanian,,47,alb,"aln, als",{},41,20,Eurasia,,Albanian,72,FALSE,FALSE
aleut,,26,ale,ale,{},54,-166,North America,,Aleut,75,FALSE,FALSE
aleut eastern,,26,aea,ale,{},54.75,-164,North America,,Aleut (Eastern),34,FALSE,FALSE
algonquin,,13,alg,alq,{},46,-77,North America,,Algonquin,76,FALSE,FALSE
alladian,,5,ald,ald,{},5.166666667,-4.333333333,Africa,,Alladian,74,FALSE,FALSE
allentiac,,48,alc,,{},-31,-68,South America,,Allentiac,73,FALSE,FALSE
alsatian,,27,alt,gsw,{},48.5,7.5,Eurasia,,Alsatian,81,FALSE,FALSE
alsea,,50,als,aes,{},44.66666667,-123.9166667,North America,,Alsea,80,FALSE,FALSE
altai southern,,83,aso,alt,{},51,87,Eurasia,,Altai (Southern),155,FALSE,FALSE
alune,,49,aln,alp,{},-3,128.3333333,Papunesia,,Alune,79,FALSE,FALSE
alutiiq,,91,atq,ems,{},57,-157,North America,,Alutiiq,167,FALSE,FALSE
alutor,,51,alu,alr,{},61,165,Eurasia,,Alutor,82,FALSE,FALSE
alyawarra,,9,aly,aly,{},-22.5,135,Australia,,Alyawarra,85,FALSE,FALSE
ama,,60,amm,amm,{},-4.216666667,141.6166667,Papunesia,,Ama,95,FALSE,FALSE
amahuaca,,55,amc,amc,{},-10.5,-72.5,South America,,Amahuaca,88,FALSE,FALSE
amanab,,61,amn,amn,{},-3.583333333,141.25,Papunesia,,Amanab,96,FALSE,FALSE
amara,,25,ama,aie,{},-5.666666667,148.5,Papunesia,,Amara,86,FALSE,FALSE
amarakaeri,,59,amk,amr,{},-12.5,-70.5,South America,,Amarakaeri,93,FALSE,FALSE
ambae lolovoli northeast,,25,aml,omb,{},-15.41666667,167.8833333,Papunesia,,Ambae (Lolovoli Northeast),94,FALSE,FALSE
ambai,,63,amq,amk,{},-1.833333333,136.5,Papunesia,,Ambai,99,FALSE,FALSE
ambulas,,54,amb,abt,{},-3.833333333,143,Papunesia,,Ambulas,87,FALSE,FALSE
amdo,,56,amd,adx,{},35,100,Eurasia,,Amdo,89,FALSE,FALSE
amdo themchen,,56,amt,adx,{},38,98,Eurasia,,Amdo (Themchen),102,FALSE,FALSE
amele,,57,ame,aey,{},-5.25,145.5833333,Papunesia,,Amele,90,TRUE,TRUE
american sign language,,23,asl,ase,{},39,-78,North America,,American Sign Language,153,FALSE,FALSE
amharic,,4,amh,amh,{},10,38,Africa,,Amharic,91,FALSE,FALSE
amis,,58,ami,ami,{},23.33333333,121.3333333,Papunesia,,Amis,92,FALSE,FALSE
amo,,62,amo,amo,{},10.33333333,8.666666667,Africa,,Amo,97,FALSE,FALSE
ampeeli,,73,ape,apz,{},-6.75,146.0833333,Papunesia,,Ampeeli,123,FALSE,FALSE
amuesha,,64,amu,ame,{},-10.5,-75.41666667,South America,,Amuesha,103,FALSE,FALSE
amuzgo,,65,amz,amu,{},16.83333333,-98,North America,,Amuzgo,105,FALSE,FALSE
anamuxra,,57,amx,imi,{},-4.666666667,145,Papunesia,,Anamuxra,104,FALSE,FALSE
andi,,74,anx,ani,{},42.75,46.25,Eurasia,,Andi,117,FALSE,FALSE
andoke,,24,adk,ano,{},-0.666666667,-72,South America,,Andoke,29,FALSE,FALSE
