ascii_name,description,genus_pk,id,iso_codes,jsondata,latitude,longitude,macroarea,markup_description,name,pk,samples_100,samples_200
ewondo,,31,ewo,ewo,{},4,12,Africa,,Ewondo,666,FALSE,FALSE
eyak,,259,eya,eya,{},60.5,-145,North America,,Eyak,667,FALSE,FALSE
faroese,,27,far,fao,{},62,-7,Eurasia,,Faroese,668,FALSE,FALSE
fasu,,260,fas,faa,{},-6.583333333,143.3333333,Papunesia,,Fasu,669,FALSE,FALSE
fefe,,31,fef,fmp,{},5.25,10.16666667,Africa,,Fe'fe',672,FALSE,FALSE
fijian,,25,fij,fij,{},-17.83333333,178,Papunesia,,Fijian,674,TRUE,TRUE
fijian wayan,,25,fiw,wyy,{},-17,177.3,Papunesia,,Fijian (Wayan),677,FALSE,FALSE
finnish,,256,fin,fin,{},62,25,Eurasia,,Finnish,675,TRUE,TRUE
finnish sign language,,23,fsl,fse,{},62,26,Eurasia,,Finnish Sign Language,691,FALSE,FALSE
fiote,,31,fio,kng,{},-5.5,14,Africa,,Fiote,676,FALSE,FALSE
foe,,262,foe,foi,{},-6.5,143.5,Papunesia,,Foe,682,FALSE,FALSE
folopa,,224,pdp,ppo,{},-7,144.5,Papunesia,,Folopa,1882,FALSE,FALSE
fongbe,,5,fon,fon,{},6.416666667,2.166666667,Africa,,Fongbe,683,FALSE,FALSE
fordata,,49,frd,frd,{},-6.75,131.5,Papunesia,,Fordata,687,FALSE,FALSE
fore,,28,for,for,{},-6.75,145.5,Papunesia,,Fore,684,FALSE,FALSE
fox,,13,fox,sac,{},43,-83,North America,,Fox,685,FALSE,FALSE
french,,85,fre,fra,{},48,2,Eurasia,,French,688,TRUE,TRUE
frisian,,27,fri,frs,{},53,5,Eurasia,,Frisian,689,FALSE,FALSE
frisian eastern,,27,fea,frs,{},53.58333333,7.5,Eurasia,,Frisian (Eastern),671,FALSE,FALSE
frisian north,,27,fno,frr,{},54.5,9,Eurasia,,Frisian (North),681,FALSE,FALSE
frisian western,,27,frw,fry,{},53,6,Eurasia,,Frisian (Western),690,FALSE,FALSE
ful liptako,,261,fli,fuh,{},13.5,0.5,Africa,,Ful (Liptako),678,FALSE,FALSE
fula burkina faso,,261,fbf,fuh,{},14,0,Africa,,Fula (Burkina Faso),670,FALSE,FALSE
fula guinean,,261,fgu,fuf,{},11.5,-12.5,Africa,,Fula (Guinean),673,FALSE,FALSE
fula mauritanian,,261,fma,fuc,{},16.5,-13.75,Africa,,Fula (Mauritanian),679,FALSE,FALSE
fula senegal,,261,fus,fuc,{},15,-14,Africa,,Fula (Senegal),697,FALSE,FALSE
fulfulde adamawa,,261,fua,fub,{},9.166666667,13.5,Africa,,Fulfulde (Adamawa),692,FALSE,FALSE
fulfulde maasina,,261,fum,ffm,{},15,-5,Africa,,Fulfulde (Maasina),695,FALSE,FALSE
fulfulde nigerian,,261,fni,fuv,{},10.25,11.25,Africa,,Fulfulde (Nigerian),680,FALSE,FALSE
fulnio,,264,ful,fun,{},-8,-37.5,South America,,Fulniô,694,FALSE,FALSE
fur,,265,fur,fvr,{},13.5,25,Africa,,Fur,696,FALSE,TRUE
futuna east,,25,fue,fud,{},-14.33333333,-178.1666667,Papunesia,,Futuna (East),693,FALSE,FALSE
futunaaniwa,,25,fut,fut,{},-19.53333333,170.2166667,Papunesia,,Futuna-Aniwa,698,FALSE,FALSE
fuzhou,,204,fuz,cdo,{},26,119.5,Eurasia,,Fuzhou,699,FALSE,FALSE
fyem,,135,fye,pym,{},9.583333333,9.333333333,Africa,,Fyem,700,FALSE,FALSE
ga,,5,ga,gaa,{},5.666666667,-0.166666667,Africa,,Gã,701,FALSE,FALSE
gaagudju,,266,gaa,gbu,{},-12.58333333,132.8333333,Australia,,Gaagudju,702,FALSE,FALSE
gaalpu,,117,glp,dhg,{},-12.66666667,136.75,Australia,,Gaalpu,753,FALSE,FALSE
gaanda,,109,gnd,gqa,{},10.33333333,12.58333333,Africa,,Ga'anda,762,FALSE,FALSE
gadaba kondekor,,271,gdk,gdb,{},18.75,83.5,Eurasia,,Gadaba (Kondekor),726,FALSE,FALSE
gade,,244,gad,ged,{},8.666666667,7.416666667,Africa,,Gade,703,FALSE,FALSE
gadsup,,28,gds,gaj,{},-6.25,146,Papunesia,,Gadsup,729,FALSE,FALSE
gaelic scots,,162,gae,gla,{},57,-4,Eurasia,,Gaelic (Scots),704,FALSE,FALSE
gagauz,,83,gag,gag,{},46.33333333,28.66666667,Eurasia,,Gagauz,705,FALSE,FALSE
gahuku,,28,gah,gah,{},-6,145.4166667,Papunesia,,Gahuku,706,FALSE,FALSE
galela,,277,gll,gbi,{},2.416666667,128.3333333,Papunesia,,Galela,751,FALSE,FALSE
galician,,85,glc,glg,{},43,-8,Eurasia,,Galician,750,FALSE,FALSE
galo,,76,gal,adi,{},28.16666667,94.66666667,Eurasia,,Galo,707,FALSE,FALSE
gamilaraay,,113,gml,kld,{},-29.83333333,149.5,Australia,,Gamilaraay,756,FALSE,FALSE
gamo,,267,gam,gmv,{},6.666666667,37.25,Africa,,Gamo,708,FALSE,FALSE
gapapaiwa,,25,gap,pwg,{},-9.75,149.8333333,Papunesia,,Gapapaiwa,710,FALSE,FALSE
garifuna,,78,grf,cab,{},15.66666667,-88,North America,,Garífuna,780,FALSE,FALSE
garo,,155,gar,grt,{},25.66666667,90.5,Eurasia,,Garo,711,FALSE,TRUE
garrwa,,284,grr,wrk,{},-17.08333333,137.1666667,Australia,,Garrwa,788,FALSE,FALSE
garus,,57,grs,gyb,{},-4.95,145.6666667,Papunesia,,Garus,789,FALSE,FALSE
gaviao,,268,gav,gvo,{},-10.66666667,-62,South America,,Gavião,713,FALSE,FALSE
gayo,,53,gay,gay,{},4.5,97.5,Papunesia,,Gayo,714,FALSE,FALSE
gbaya northwest,,269,gbk,gya,{},6,15,Africa,,Gbaya (Northwest),719,FALSE,FALSE
gbaya southwest,,269,gbs,gso,{},4.7,14.96,Africa,,Gbaya (Southwest),721,FALSE,FALSE
gbeya bossangoa,,269,gbb,gbp,{},6.666666667,17.5,Africa,,Gbeya Bossangoa,716,FALSE,FALSE
gela,,25,gel,nlg,{},-9.083333333,160.25,Papunesia,,Gela,730,FALSE,FALSE
gelao,,276,gla,gqu,{},22.91666667,105.5,Eurasia,,Gelao,749,FALSE,FALSE
georgian,,272,geo,kat,{},42,44,Eurasia,,Georgian,731,TRUE,TRUE
german,,27,ger,deu,{},52,10,Eurasia,,German,732,TRUE,TRUE
german appenzell,,27,gpz,gsw,{},47.33333333,9.333333333,Eurasia,,German (Appenzell),777,FALSE,FALSE
german bavarian,,27,gba,bar,{},49,11.5,Eurasia,,German (Bavarian),715,FALSE,FALSE
german berlin,,27,gbl,deu,{},52.5,13.33333333,Eurasia,,German (Berlin),720,FALSE,FALSE
german bern,,27,gbe,gsw,{},47,7.416666667,Eurasia,,German (Bern),718,FALSE,FALSE
german hannover,,27,gha,deu,{},52.41666667,9.666666667,Eurasia,,German (Hannover),736,FALSE,FALSE
german mansfeldisch,,27,gma,deu,{},51.58333333,11.5,Eurasia,,German (Mansfeldisch),754,FALSE,FALSE
german ostschweiz,,27,gos,gsw,{},47.41666667,9.25,Eurasia,,German (Ostschweiz),776,FALSE,FALSE
german ripuarian,,27,grp,ksh,{},51,7,Eurasia,,German (Ripuarian),787,FALSE,FALSE
german thurgau,,27,gtg,gsw,{},47.58333333,9.166666667,Eurasia,,German (Thurgau),794,FALSE,FALSE
german thuringian,,27,gth,deu,{},51,11,Eurasia,,German (Thuringian),795,FALSE,FALSE
german timisoara,,27,gti,deu,{},45.75,21.25,Eurasia,,German (Timisoara),796,FALSE,FALSE
german upper austrian,,27,gau,bar,{},47,14,Eurasia,,German (Upper Austrian),712,FALSE,FALSE
german viennese,,27,gvi,bar,{},48.16666667,16.33333333,Eurasia,,German (Viennese),813,FALSE,FALSE
german westphalian,,27,gwe,wep,{},52,7.5,Eurasia,,German (Westphalian),815,FALSE,FALSE
german zurich,,27,gzu,gsw,{},47.41666667,8.5,Eurasia,,German (Zurich),819,FALSE,FALSE
ghotuo,,149,gho,aaa,{},7.083333333,5.75,Africa,,Ghotuo,738,FALSE,FALSE
ghulfan,,408,nbh,ghl,{},12,31,Africa,,Ghulfan,1671,FALSE,FALSE
