Locale,ID,Feature,Usage,Values
Amharic,am,grammaticalCase,general,"nominative, accusative"
Amharic,am,grammaticalDefiniteness,general,"indefinite, definite"
Arabic,ar,grammaticalCase,general,"nominative, accusative, genitive"
Arabic,ar,grammaticalDefiniteness,general,"indefinite, definite, construct"
Arabic,ar,grammaticalGender,general,"masculine, feminine"
Armenian,hy,grammaticalCase,general,"nominative, dative, locative, instrumental, ablative"
Azerbaijani,az,grammaticalCase,general,"nominative, accusative, genitive, dative, locative, ablative"
Bangla,bn,grammaticalCase,general,"nominative, accusative, genitive, locative"
Bangla,bn,grammaticalDefiniteness,general,"indefinite, definite"
Catalan,ca,grammaticalGender,general,"masculine, feminine"
Croatian,hr,grammaticalCase,general,"nominative, vocative, accusative, genitive, dative, locative, instrumental"
Croatian,hr,units,units,"nominative, accusative, genitive, instrumental"
Croatian,hr,grammaticalGender,general,"neuter, inanimate, animate, feminine"
Croatian,hr,units,units,"neuter, inanimate, feminine"
Czech,cs,grammaticalCase,general,"nominative, vocative, accusative, genitive, dative, locative, instrumental"
Czech,cs,units,units,"nominative, accusative, genitive, instrumental"
Czech,cs,grammaticalGender,general,"neuter, inanimate, animate, feminine"
Czech,cs,units,units,"neuter, inanimate, feminine"
Danish,da,grammaticalCase,general,"nominative, genitive"
Danish,da,grammaticalDefiniteness,general,"unspecified, indefinite, definite"
Danish,da,grammaticalGender,general,"neuter, common"
Dutch,nl,grammaticalGender,general,"neuter, common"
Finnish,fi,grammaticalCase,general,"nominative, genitive, instrumental, ablative, abessive, adessive, allative, comitative, elative, essive, illative, inessive, partitive, translative"
Finnish,fi,units,units,"nominative, elative, illative, partitive"
French,fr,grammaticalGender,general,"masculine, feminine"
German,de,grammaticalCase,general,"nominative, accusative, genitive, dative"
German,de,grammaticalGender,general,"neuter, masculine, feminine"
Greek,el,grammaticalCase,general,"nominative, vocative, accusative, genitive"
Greek,el,units,units,"nominative, accusative, genitive"
Greek,el,grammaticalGender,general,"neuter, masculine, feminine"
Gujarati,gu,grammaticalCase,general,"nominative, vocative, accusative, genitive, dative, locative, instrumental"
Gujarati,gu,grammaticalGender,general,"neuter, masculine, feminine"
Hebrew,he,grammaticalDefiniteness,general,"indefinite, definite, construct"
Hebrew,he,grammaticalGender,general,"masculine, feminine"
