Language,Language (English name),languageHints code,Script / notes
አማርኛ,Amharic,am,Ethi
Αρχαία ελληνικά,Ancient Greek,grc,Grek
অসমীয়া,Assamese,as,Beng
Azərbaycan,Azerbaijani,az,Latn
Azərbaycan (qədim yazı),Azerbaijani,az-Cyrl,Cyrl; old orthography
Euskara,Basque,eu,Latn
Bosanski,Bosnian,bs,Latn
မြန်မာ,Burmese,my,Mymr
Cebuano,Cebuano,ceb,Latn
ᏣᎳᎩ ᎦᏬᏂᎯᏍᏗ,Cherokee,chr,Cher
"dhivehi, dhivehi-bas",Dhivehi,dv,Thaa
རྫོང་ཁ,Dzonkha,dz,Tibt
Esperanto,Esperanto,eo,Latn
Galego,Galician,gl,Latn
ქართული,Georgian,ka,Geor
Kreyòl Ayisyen,Haitian Creole,ht,Latn
Gaeilge,Irish,ga,Latn
Jawa,Javanese,jv,Latn
Қазақ,Kazakh,kk,Cyrl
Kirghiz,Kirghiz,ky,Cyrl
Latine,Latin,la,Latn
Malti,Maltese,mt,Latn
Монгол,Mongolian,mn,Cyrl
ଓଡ଼ିଆ,Oriya,or,Orya
پښتو,Pashto,ps,Arab
संस्कृतम्,Sanskrit,sa,Deva
සිංහල,Sinhala,si,Sinh
Swahili,Swahili,sw,Latn
leššānā Suryāyā,Syriac,syr,Syriac
བོད་སྐད་,Tibetan,bo,Tibt
ትግርኛ,Tigirinya,ti,Ethi
اردو,Urdu,ur,Arab
oʻzbekcha,Uzbek,uz,Latn; Latin
oʻzbekcha,Uzbek,uz-Cyrl,Cyrl; old orthography
Cymraeg,Welsh,cy,Latn
IsiZulu,Zulu,zu,Latn
