Language,Language (English name),languageHints code,Script / notes,macroarea
አማርኛ,Amharic,am,Ethi,Africa
Αρχαία ελληνικά,Ancient Greek,grc,Grek,
অসমীয়া,Assamese,as,Beng,Eurasia
Azərbaycan,Azerbaijani,az,Latn,Eurasia
Azərbaycan (qədim yazı),Azerbaijani,az-Cyrl,Cyrl; old orthography,Eurasia
Euskara,Basque,eu,Latn,Eurasia
Bosanski,Bosnian,bs,Latn,Eurasia
မြန်မာ,Burmese,my,Mymr,Eurasia
Cebuano,Cebuano,ceb,Latn,Papunesia
ᏣᎳᎩ ᎦᏬᏂᎯᏍᏗ,Cherokee,chr,Cher,North America
"dhivehi, dhivehi-bas",Dhivehi,dv,Thaa,Eurasia
རྫོང་ཁ,Dzonkha,dz,Tibt,
Esperanto,Esperanto,eo,Latn,
Galego,Galician,gl,Latn,Eurasia
ქართული,Georgian,ka,Geor,Eurasia
Kreyòl Ayisyen,Haitian Creole,ht,Latn,North America
Gaeilge,Irish,ga,Latn,Eurasia
Jawa,Javanese,jv,Latn,Papunesia
Қазақ,Kazakh,kk,Cyrl,Eurasia
Kirghiz,Kirghiz,ky,Cyrl,Eurasia
Latine,Latin,la,Latn,
Malti,Maltese,mt,Latn,Eurasia
Монгол,Mongolian,mn,Cyrl,
ଓଡ଼ିଆ,Oriya,or,Orya,Eurasia
پښتو,Pashto,ps,Arab,Eurasia
संस्कृतम्,Sanskrit,sa,Deva,
සිංහල,Sinhala,si,Sinh,Eurasia
Swahili,Swahili,sw,Latn,Africa
leššānā Suryāyā,Syriac,syr,Syriac,
བོད་སྐད་,Tibetan,bo,Tibt,
ትግርኛ,Tigirinya,ti,Ethi,
اردو,Urdu,ur,Arab,Eurasia
oʻzbekcha,Uzbek,uz,Latn; Latin,Eurasia
oʻzbekcha,Uzbek,uz-Cyrl,Cyrl; old orthography,Eurasia
Cymraeg,Welsh,cy,Latn,Eurasia
IsiZulu,Zulu,zu,Latn,Africa
