Language,Language (English name),languageHints code,Script / notes,Mapped to
بهسا اچيه,Acehnese,ace,Latn,Latin script model
Lwo,Acholi,ach,Latn,Latin script model
Dangme,Adangme,ada,Latn,Latin script model
Akan,Akan,ak,Latn,Latin script model
Anicinâbemowin,Algonquinian,alg,Latn,Latin script model
Mapudungu,Araucanian/Mapuche,arn,Latn,Latin script model
Asturianu,Asturian,ast,Latn,Latin script model
Dene,Athabaskan,ath,Latn,Latin script model
Aymar aru,Aymara,ay,Latn,Latin script model
Bhāṣa Bali,Balinese,ban,Latn,Latin script model
Bamanankan,Bambara,bm,Latn,Latin script model
Narrow Bantu,Bantu,bnt,Latn,Latin script model
башҡорт теле,Bashkir,ba,Cyrl,Cyrillic script model
Toba–Batak,Batak,btk,Latn,Latin script model
Chibemba,Bemba,bem,Latn,Latin script model
Bikol Naga,Bikol,bik,Latn,Latin script model
Bichelamar,Bislama,bi,Latn,Latin script model
Brezhoneg,Breton,br,Latn,Latin script model
нохчийн мотт / noxçiyn mott,Chechen,ce,Cyrl,Cyrillic script model
汉语,Chinese,zh-Hans,Hans; Simplified; Mandarin,zh
漢語,Chinese,zh-Hant,Hant; Traditional; Mandarin,zh
普通話,Chinese,zh-Hant-HK,Hant; Mandarin; Hong Kong,zh
Chahta',Choctaw,cho,Latn,Latin script model
Чӑвашла,Chuvash,cv,Cyrl,Cyrillic script model
Cree–Montagnais–Naskapi,Cree,cr,Latn,Latin script model
Mvskoke,Creek,mus,Latn,Latin script model
"qırımtatar tili, къырымтатар тили",Crimean Tatar,crh,Latn,Cyrillic script model
"Dakhótiyapi, Dakȟótiyapi",Dakota,dak,Latn,Latin script model
Douala,Duala,dua,Latn,Latin script model
Ikɔ Efik,Efik,efi,Latn,Latin script model
English (British),English,en-GB,Latn; British,en
Èʋegbe,Ewe,ee,Latn,Latin script model
føroyskt mál,Faroese,fo,Latn,Latin script model
Na Vosa Vakaviti,Fijian,fj,Latn,Latin script model
fɔ̀ngbè,Fon,fon,Latn,Latin script model
Français canadien,French,fr-CA,Latn; Canadian,fr
"Fulani, Fulah, Peul",Fulah,ff,Latn,Latin script model
Gã,Ga,gaa,Latn,Latin script model
Luganda,Ganda,lg,Latn,Latin script model
Basa Gayo,Gayo,gay,Latn,Latin script model
Kiribati,Gilbertese,gil,Latn,Latin script model
Gothic,Gothic,got,Latn,Latin script model
Guaraní,Guarani,gn,Latn,Latin script model
Harshen/Halshen Hausa هَرْشَن هَوْسَ,Hausa,ha,Latn,Latin script model
ʻŌlelo Hawaiʻi,Hawaiian,haw,Latn,Latin script model
Otjiherero,Herero,hz,Latn,Latin script model
Ilonggo,Hiligaynon,hil,Latn,Latin script model
Jaku Iban,Iban,iba,Latn,Latin script model
Asụsụ Igbo,Igbo,ig,Latn,Latin script model
Ilokano,Iloko,ilo,Latn,Latin script model
Taqbaylit,Kabyle,kab,Latn,Latin script model
Jingpho,Kachin,kac,Latn,Latin script model
Kalaallisut,Kalaallisut,kl,Latn,Latin script model
Kikamba,Kamba,kam,Latn,Latin script model
Kanuri,Kanuri,kr,Latn,Latin script model
"Qaraqalpaq tili, Қарақалпақ тили, قاراقالپاق تىلى",Kara-Kalpak,kaa,Cyrl/Latn,Cyrillic script model
Ka Ktien Khasi,Khasi,kha,Latn,Latin script model
Gĩkũyũ,Kikuyu,ki,Latn,Latin script model
Kinyarwanda,Kinyarwanda,rw,Latn,Latin script model
коми кыв,Komi,kv,Cyrl,Cyrillic script model
Kikongo,Kongo,kg,Latn,Latin script model
Kosraean,Kosraean,kos,Latn,Latin script model
Oshikwanyama,Kuanyama,kj,Latn,Latin script model
Ngala,Lingala,ln,Latn,Latin script model
"Plattdütsch, Plattdeutsch, Nedersaksisch",Low German,nds,Latn,Latin script model
siLozi,Lozi,loz,Latn,Latin script model
Kiluba,Luba-Katanga,lu,Latn,Latin script model
Dholuo,Luo,luo,Latn,Latin script model
"Madhura, Basa Mathura, بَهاسَ مَدورا",Madurese,mad,Latn,Latin script model
Malagasy,Malagasy,mg,Latn,Latin script model
"Mandinka, لغة مندنكا",Mandingo,man,Latn,Latin script model
"Gaelg, Gailck",Manx,gv,Latn,Latin script model
Te reo Māori,Maori,mi,Latn,Latin script model
Ebon,Marshallese,mh,Latn,Latin script model
Mɛnde yia,Mende,men,Latn,Latin script model
Middle English,Middle English,enm,Latn,Latin script model
Mittelhochdeutsch,Middle High German,gmh,Latn,Latin script model
"Baso Minangkabau, باسو مينڠكاباو",Minangkabau,min,Latn,Latin script model
Kanienʼkéha,Mohawk,moh,Latn,Latin script model
Nkundu,Mongo,lol,Latn,Latin script model
