Language,Language (English name),languageHints code,Script / notes,Mapped to,macroarea
بهسا اچيه,Acehnese,ace,Latn,Latin script model,Eurasia
Lwo,Acholi,ach,Latn,Latin script model,Africa
Dangme,Adangme,ada,Latn,Latin script model,
Akan,Akan,ak,Latn,Latin script model,Africa
Anicinâbemowin,Algonquinian,alg,Latn,Latin script model,
Mapudungu,Araucanian/Mapuche,arn,Latn,Latin script model,
Asturianu,Asturian,ast,Latn,Latin script model,Eurasia
Dene,Athabaskan,ath,Latn,Latin script model,
Aymar aru,Aymara,ay,Latn,Latin script model,
Bhāṣa Bali,Balinese,ban,Latn,Latin script model,Papunesia
Bamanankan,Bambara,bm,Latn,Latin script model,Africa
Narrow Bantu,Bantu,bnt,Latn,Latin script model,
башҡорт теле,Bashkir,ba,Cyrl,Cyrillic script model,Eurasia
Toba–Batak,Batak,btk,Latn,Latin script model,Papunesia
Chibemba,Bemba,bem,Latn,Latin script model,Africa
Bikol Naga,Bikol,bik,Latn,Latin script model,Papunesia
Bichelamar,Bislama,bi,Latn,Latin script model,Papunesia
Brezhoneg,Breton,br,Latn,Latin script model,Eurasia
нохчийн мотт / noxçiyn mott,Chechen,ce,Cyrl,Cyrillic script model,Eurasia
汉语,Chinese,zh-Hans,Hans; Simplified; Mandarin,zh,
漢語,Chinese,zh-Hant,Hant; Traditional; Mandarin,zh,
普通話,Chinese,zh-Hant-HK,Hant; Mandarin; Hong Kong,zh,
Chahta',Choctaw,cho,Latn,Latin script model,North America
Чӑвашла,Chuvash,cv,Cyrl,Cyrillic script model,Eurasia
Cree–Montagnais–Naskapi,Cree,cr,Latn,Latin script model,
Mvskoke,Creek,mus,Latn,Latin script model,North America
"qırımtatar tili, къырымтатар тили",Crimean Tatar,crh,Latn,Cyrillic script model,Eurasia
"Dakhótiyapi, Dakȟótiyapi",Dakota,dak,Latn,Latin script model,North America
Douala,Duala,dua,Latn,Latin script model,Africa
Ikɔ Efik,Efik,efi,Latn,Latin script model,Africa
English (British),English,en-GB,Latn; British,en,Eurasia
Èʋegbe,Ewe,ee,Latn,Latin script model,Africa
føroyskt mál,Faroese,fo,Latn,Latin script model,Eurasia
Na Vosa Vakaviti,Fijian,fj,Latn,Latin script model,Papunesia
fɔ̀ngbè,Fon,fon,Latn,Latin script model,
Français canadien,French,fr-CA,Latn; Canadian,fr,Eurasia
"Fulani, Fulah, Peul",Fulah,ff,Latn,Latin script model,
Gã,Ga,gaa,Latn,Latin script model,
Luganda,Ganda,lg,Latn,Latin script model,
Basa Gayo,Gayo,gay,Latn,Latin script model,Papunesia
Kiribati,Gilbertese,gil,Latn,Latin script model,
Gothic,Gothic,got,Latn,Latin script model,
Guaraní,Guarani,gn,Latn,Latin script model,South America
Harshen/Halshen Hausa هَرْشَن هَوْسَ,Hausa,ha,Latn,Latin script model,Africa
ʻŌlelo Hawaiʻi,Hawaiian,haw,Latn,Latin script model,Papunesia
Otjiherero,Herero,hz,Latn,Latin script model,Africa
Ilonggo,Hiligaynon,hil,Latn,Latin script model,Papunesia
Jaku Iban,Iban,iba,Latn,Latin script model,Papunesia
