Language,Voice type,Language code,Voice name,SSML Gender,Sample
Afrikaans (South Africa),Standard,af-ZA,af-ZA-Standard-A,FEMALE,Your browser does not support the audio element.
Arabic,Standard,ar-XA,ar-XA-Standard-A,FEMALE,Your browser does not support the audio element.
Arabic,Standard,ar-XA,ar-XA-Standard-B,MALE,Your browser does not support the audio element.
Arabic,Standard,ar-XA,ar-XA-Standard-C,MALE,Your browser does not support the audio element.
Arabic,Standard,ar-XA,ar-XA-Standard-D,FEMALE,Your browser does not support the audio element.
Arabic,WaveNet,ar-XA,ar-XA-Wavenet-A,FEMALE,Your browser does not support the audio element.
Arabic,WaveNet,ar-XA,ar-XA-Wavenet-B,MALE,Your browser does not support the audio element.
Arabic,WaveNet,ar-XA,ar-XA-Wavenet-C,MALE,Your browser does not support the audio element.
Arabic,WaveNet,ar-XA,ar-XA-Wavenet-D,FEMALE,Your browser does not support the audio element.
Bengali (India),Standard,bn-IN,bn-IN-Standard-A,FEMALE,Your browser does not support the audio element.
Bengali (India),Standard,bn-IN,bn-IN-Standard-B,MALE,Your browser does not support the audio element.
Bengali (India),WaveNet,bn-IN,bn-IN-Wavenet-A,FEMALE,Your browser does not support the audio element.
Bengali (India),WaveNet,bn-IN,bn-IN-Wavenet-B,MALE,Your browser does not support the audio element.
Bulgarian (Bulgaria),Standard,bg-BG,bg-bg-Standard-A,FEMALE,Your browser does not support the audio element.
Catalan (Spain),Standard,ca-ES,ca-es-Standard-A,FEMALE,Your browser does not support the audio element.
Chinese (Hong Kong),Standard,yue-HK,yue-HK-Standard-A,FEMALE,Your browser does not support the audio element.
Chinese (Hong Kong),Standard,yue-HK,yue-HK-Standard-B,MALE,Your browser does not support the audio element.
Chinese (Hong Kong),Standard,yue-HK,yue-HK-Standard-C,FEMALE,Your browser does not support the audio element.
Chinese (Hong Kong),Standard,yue-HK,yue-HK-Standard-D,MALE,Your browser does not support the audio element.
Czech (Czech Republic),Standard,cs-CZ,cs-CZ-Standard-A,FEMALE,Your browser does not support the audio element.
Czech (Czech Republic),WaveNet,cs-CZ,cs-CZ-Wavenet-A,FEMALE,Your browser does not support the audio element.
Danish (Denmark),Standard,da-DK,da-DK-Standard-A,FEMALE,Your browser does not support the audio element.
Danish (Denmark),Standard,da-DK,da-DK-Standard-C,MALE,Your browser does not support the audio element.
Danish (Denmark),Standard,da-DK,da-DK-Standard-D,FEMALE,Your browser does not support the audio element.
Danish (Denmark),Standard,da-DK,da-DK-Standard-E,FEMALE,Your browser does not support the audio element.
Danish (Denmark),WaveNet,da-DK,da-DK-Wavenet-A,FEMALE,Your browser does not support the audio element.
Danish (Denmark),WaveNet,da-DK,da-DK-Wavenet-C,MALE,Your browser does not support the audio element.
Danish (Denmark),WaveNet,da-DK,da-DK-Wavenet-D,FEMALE,Your browser does not support the audio element.
Danish (Denmark),WaveNet,da-DK,da-DK-Wavenet-E,FEMALE,Your browser does not support the audio element.
Dutch (Belgium),Standard,nl-BE,nl-BE-Standard-A,FEMALE,Your browser does not support the audio element.
Dutch (Belgium),Standard,nl-BE,nl-BE-Standard-B,MALE,Your browser does not support the audio element.
Dutch (Belgium),WaveNet,nl-BE,nl-BE-Wavenet-A,FEMALE,Your browser does not support the audio element.
Dutch (Belgium),WaveNet,nl-BE,nl-BE-Wavenet-B,MALE,Your browser does not support the audio element.
Dutch (Netherlands),Standard,nl-NL,nl-NL-Standard-A,FEMALE,Your browser does not support the audio element.
Dutch (Netherlands),Standard,nl-NL,nl-NL-Standard-B,MALE,Your browser does not support the audio element.
Dutch (Netherlands),Standard,nl-NL,nl-NL-Standard-C,MALE,Your browser does not support the audio element.
Dutch (Netherlands),Standard,nl-NL,nl-NL-Standard-D,FEMALE,Your browser does not support the audio element.
Dutch (Netherlands),Standard,nl-NL,nl-NL-Standard-E,FEMALE,Your browser does not support the audio element.
Dutch (Netherlands),WaveNet,nl-NL,nl-NL-Wavenet-A,FEMALE,Your browser does not support the audio element.
Dutch (Netherlands),WaveNet,nl-NL,nl-NL-Wavenet-B,MALE,Your browser does not support the audio element.
Dutch (Netherlands),WaveNet,nl-NL,nl-NL-Wavenet-C,MALE,Your browser does not support the audio element.
Dutch (Netherlands),WaveNet,nl-NL,nl-NL-Wavenet-D,FEMALE,Your browser does not support the audio element.
Dutch (Netherlands),WaveNet,nl-NL,nl-NL-Wavenet-E,FEMALE,Your browser does not support the audio element.
English (Australia),Standard,en-AU,en-AU-Standard-A,FEMALE,Your browser does not support the audio element.
English (Australia),Standard,en-AU,en-AU-Standard-B,MALE,Your browser does not support the audio element.
English (Australia),Standard,en-AU,en-AU-Standard-C,FEMALE,Your browser does not support the audio element.
English (Australia),Standard,en-AU,en-AU-Standard-D,MALE,Your browser does not support the audio element.
English (Australia),WaveNet,en-AU,en-AU-Wavenet-A,FEMALE,Your browser does not support the audio element.
English (Australia),WaveNet,en-AU,en-AU-Wavenet-B,MALE,Your browser does not support the audio element.
English (Australia),WaveNet,en-AU,en-AU-Wavenet-C,FEMALE,Your browser does not support the audio element.
English (Australia),WaveNet,en-AU,en-AU-Wavenet-D,MALE,Your browser does not support the audio element.
English (India),Standard,en-IN,en-IN-Standard-A,FEMALE,Your browser does not support the audio element.
English (India),Standard,en-IN,en-IN-Standard-B,MALE,Your browser does not support the audio element.
English (India),Standard,en-IN,en-IN-Standard-C,MALE,Your browser does not support the audio element.
English (India),Standard,en-IN,en-IN-Standard-D,FEMALE,Your browser does not support the audio element.
English (India),WaveNet,en-IN,en-IN-Wavenet-A,FEMALE,Your browser does not support the audio element.
English (India),WaveNet,en-IN,en-IN-Wavenet-B,MALE,Your browser does not support the audio element.
English (India),WaveNet,en-IN,en-IN-Wavenet-C,MALE,Your browser does not support the audio element.
English (India),WaveNet,en-IN,en-IN-Wavenet-D,FEMALE,Your browser does not support the audio element.
English (UK),Standard,en-GB,en-GB-Standard-A,FEMALE,Your browser does not support the audio element.
English (UK),Standard,en-GB,en-GB-Standard-B,MALE,Your browser does not support the audio element.
English (UK),Standard,en-GB,en-GB-Standard-C,FEMALE,Your browser does not support the audio element.
English (UK),Standard,en-GB,en-GB-Standard-D,MALE,Your browser does not support the audio element.
English (UK),Standard,en-GB,en-GB-Standard-F,FEMALE,Your browser does not support the audio element.
English (UK),WaveNet,en-GB,en-GB-Wavenet-A,FEMALE,Your browser does not support the audio element.
English (UK),WaveNet,en-GB,en-GB-Wavenet-B,MALE,Your browser does not support the audio element.
English (UK),WaveNet,en-GB,en-GB-Wavenet-C,FEMALE,Your browser does not support the audio element.
English (UK),WaveNet,en-GB,en-GB-Wavenet-D,MALE,Your browser does not support the audio element.
English (UK),WaveNet,en-GB,en-GB-Wavenet-F,FEMALE,Your browser does not support the audio element.
English (US),Standard,en-US,en-US-Standard-A,MALE,Your browser does not support the audio element.
English (US),Standard,en-US,en-US-Standard-B,MALE,Your browser does not support the audio element.
English (US),Standard,en-US,en-US-Standard-C,FEMALE,Your browser does not support the audio element.
English (US),Standard,en-US,en-US-Standard-D,MALE,Your browser does not support the audio element.
English (US),Standard,en-US,en-US-Standard-E,FEMALE,Your browser does not support the audio element.
English (US),Standard,en-US,en-US-Standard-F,FEMALE,Your browser does not support the audio element.
English (US),Standard,en-US,en-US-Standard-G,FEMALE,Your browser does not support the audio element.
English (US),Standard,en-US,en-US-Standard-H,FEMALE,Your browser does not support the audio element.
English (US),Standard,en-US,en-US-Standard-I,MALE,Your browser does not support the audio element.
English (US),Standard,en-US,en-US-Standard-J,MALE,Your browser does not support the audio element.
