Languages,macroarea
Abkhaz,Eurasia
Aborlan,
Abron,
Acehnese,Eurasia
Acholi,Africa
Achomi,
Adamawa Fulfulde,
Adyghe,
Afar,
Afrikaans,Africa
Ahirani,
"Ahirani, Transliteration",
Ajagbe,Africa
Akan,Africa
Akoose,
Alas,Papunesia
"Albanian, Gheg",
"Albanian, Standard",
"Albanian, Tosk",
Alsatian,Eurasia
Alur,
Ambonese Malay,
Amdo Tibetan,
Amharic,Africa
Amis,Papunesia
Anaang,
Angika,
Arabic (Algeria),
Arabic (Bahrain),Eurasia
Arabic (Chad),
Arabic (Egypt),
Arabic (Gulf),Eurasia
Arabic (Iraq),
Arabic (Levant),
Arabic (Libya),
Arabic (Mauritania),
Arabic (Morocco),
Arabic (Oman),
Arabic (Saudi Arabia),
Arabic (Sudan),
Arabic (Tunisia),
Arabic (Yemen),
Aragonese,
Arakanese,
Armenian,
"Armenian, Transliteration",
"Assamese, Assamese",
"Assamese, Latin",
"Assamese, Transliteration",
Assyrian (Iraq),
Assyrian (Syria),
Asturian,Eurasia
Austro-Bavarian,
Avar,Eurasia
Awadhi,Eurasia
"Awadhi, Transliteration",
Ayacucho Quechua,
Aymara (Bolivia),
Aymara (Peru),
Azerbaijani (Azerbaijan),
Azerbaijani (Iran),
Azerbaijani (Russia),
Bagheli,
"Bagheli, Transliteration",
Bagri (India),
"Bagri (India), Transliteration",
Bagri (Pakistan),
"Bagri (Pakistan), Transliteration",
Bahamian Creole,
Bakhtiari,
"Balinese, Aksara Bali",
"Balinese, Latin",
Balkan Gagauz Turkish,
Balkan Romani (Bulgaria),
Balkan Romani (Macedonia),
Balochi,
Balti,Eurasia
"Balti, Transliteration",
"Bambara, Latin",
"Bambara, N'Ko",
Bamum,
Bangala,
Banggai,Papunesia
Bangka Malay,
Bangla (Bangladesh),
"Bangla (India), Bengali",
"Bangla (India), Latin",
"Bangla (India), Transliteration",
Banjar,
Baoulé,
Basaa,
Bashkir,Eurasia
Basque,Eurasia
"Batak Mandailing, Surat Batak",
"Batak Mandailing, Latin",
"Batak Simalungun, Surat Batak",
"Batak Simalungun, Latin",
Batak Toba,
Belarusian,
Bemba,Africa
"Bench, Ge'ez",
"Bench, Latin",
Berom,
Betawi,
"Bhili, Devanagari",
"Bhili, Devanagari, Transliteration",
"Bhili, Gujarati",
"Bhili, Gujarati, Transliteration",
Bhojpuri,Eurasia
"Bhojpuri, Transliteration",
Bishnupriya,
"Bishnupriya, Transliteration",
Bislama,Papunesia
"Bodo, Bengali",
"Bodo, Bengali, Transliteration",
"Bodo, Devanagari",
"Bodo, Devanagari, Transliteration",
"Bodo, Latin",
"Bosnian, Cyrillic",
"Bosnian, Latin",
Bouyei,
"Brahui, Arabic",
"Brahui, Latin",
"Brahui, Transliteration",
Breton,Eurasia
"Buginese, Latin",
"Buginese, Lontara",
Buhid,
Bukusu,Africa
Bulgarian,Eurasia
Bulu-Bene,
Bundeli,
"Bundeli, Transliteration",
Burmese,Eurasia
Buryat (Mongolia),
Buryat (Russia),
Cameroon Pidgin,
Cape Verdean Creole,
Capiznon,
Catalan,Eurasia
Cebaara Senoufo,
Cebuano,Papunesia
Central Bikol,
Central Makhuwa,
Central Malay,
Chakma,
Chaldean Neo-Aramaic,
Chamorro,Papunesia
Chavacano,Papunesia
Chechen,Eurasia
"Cherokee, Uppercase and Lowercase",
"Cherokee, Uppercase only",
Chhattisgarhi,
"Chhattisgarhi, Transliteration",
Chimborazo Highland Kichwa,
"Chinese, Cantonese, Traditional",
"Chinese, Mandarin, Simplified",
"Chinese, Mandarin, Traditional",
Chittagonian,
"Chittagonian, Transliteration",
Choctaw,North America
Chokwe (Angola),
Chokwe (DRC),
Chopi,
Church Slavonic,
Chuvash,Eurasia
Chuwabu,
Classical Syriac,
Coptic,Africa
Cornish,Eurasia
Corsican,
"Cree, Latin",
"Cree, Syllabics",
"Crimean Tatar, Cyrillic",
"Crimean Tatar, Latin",
Croatian,
Cusco Quechua,
Cuyonon,
Czech,Eurasia
Dagaare,Africa
Dagbani,Africa
Dakhini,
Dan,Africa
Dangme,
Danish,Eurasia
Dargwa,Eurasia
Dari,Eurasia
Dazaga,
Dhatki,
Dhivehi,Eurasia
Dhundhari,
"Dhundhari, Transliteration",
Dinka,Africa
"Jula, Latin",
"Jula, N'Ko",
"Dogri, Arabic",
"Dogri, Arabic, Transliteration",
"Dogri, Devanagari",
"Dogri, Devanagari, Transliteration",
"Dogri, Latin",
Dotyali,
Dungan,
Duri,
Dutch (Belgium),
Dutch (Netherlands),
Dzongkha,
East Franconian,
Eastern Balochi,
"Eastern Cham, Cham",
"Eastern Cham, Latin",
Eastern Min,
Eastern Oromo,
Eastern Pwo,
Eastern Tamang,
Ebira,Africa
Edo,
Efik,Africa
Elhomwe,
Emilian,
English (Australia),
English (Canada),
English (India),
English (Kenya),
English (Nigeria),
English (Philippines),
English (South Africa),
English (UK),
English (US),
Erzya,
Esperanto,
Estonian,Eurasia
Ewe,Africa
Ewondo,Africa
Extremaduran,
Fang,
Fantse,
Farefare,
Faroese,Eurasia
"Fiji Hindi, Devanagari",
"Fiji Hindi, Latin",
Fijian,Papunesia
"Filipino, Baybayin",
"Filipino, Latin",
Finnish,Eurasia
Fon,
French (Africa),
French (Belgium),
French (Canada),
French (France),
French (Switzerland),
Friulian,
"Fula, Adlam",
"Fula, Latin",
Fulfulde (Niger),
Fulfulde (Nigeria),
"Gagauz, Cyrillic",
"Gagauz, Latin",
Galician,Eurasia
Gamo,Africa
Garhwali,
"Garhwali, Transliteration",
"Garo, Bengali",
"Garo, Latin",
"Garo, Transliteration",
Gayo,Papunesia
Ge'ez,
Gedeo,
"Georgian, Khutsuri",
"Georgian, Mkhedruli",
German (Austria),
German (Belgium),
German (Germany),
German (Luxembourg),
German (Switzerland),
Ghanaian Pidgin,
Ghomala,
Gilaki,Eurasia
Giryama,
Godwari,
"Godwari, Transliteration",
Gogo,
"Gondi, Devanagari",
"Gondi, Devanagari, Transliteration",
"Gondi, Telugu",
"Gondi, Telugu, Transliteration",
Gor,
Gorani,
Gorontalo,Papunesia
Gourmanché,
Greek (Cyprus),
Greek (Greece),
"Greek (Greece), Transliteration",
Guadeloupean Creole,
Guarani,South America
Guianan Creole,
Guinea-Bissau Creole,
"Gujarati, Gujarati",
"Gujarati, Latin",
"Gujarati, Transliteration",
Gujari (India),
"Gujari (India), Transliteration",
Gujari (Pakistan),
"Gujari (Pakistan), Transliteration",
Gulay,
Gusii,Africa
Guyanese Creole,
Ha,
"Hadiyya, Ge’ez",
"Hadiyya, Latin",
Haitian Creole,North America
Hakha Chin,
Hakka,Eurasia
"Halbi, Devanagari",
"Halbi, Devanagari, Transliteration",
"Halbi, Odia",
"Halbi, Odia, Transliteration",
Hani,Eurasia
Hanunuo,
Harauti,
"Harauti, Transliteration",
Haryanvi,
"Haryanvi, Transliteration",
Hausa (Ghana),
Hausa (Nigeria),
Hawaiian,Papunesia
Hawaiian Pidgin,
Hawu,
Haya,Africa
Hazaragi,
Hebrew,
Hehe,Africa
Hiligaynon,Papunesia
Hill Mari,
"Hindi, Devanagari",
"Hindi, Latin / Hinglish",
"Hindi, Transliteration",
Hiri Motu,
Hmong,
Hmong Daw,Eurasia
Hmu,
Hungarian,Eurasia
Hunsrik,
Iban,Papunesia
Ibibio,Africa
Icelandic,Eurasia
Igala,
Igbo,Africa
Iloko,
Indonesian,Papunesia
Indus Kohistani,
Ingush,Eurasia
Interlingua,
International Phonetic Alphabet,
"Inuktitut, Latin",
"Inuktitut, Syllabics",
Irish,Eurasia
Isan,
Isoko,Africa
Italian (Italy),
Italian (Switzerland),
Itawit,
Iu Mien,
Izon,
Jamaican Patois,
Jambi Malay,
Japanese,Eurasia
"Javanese, Aksara Jawa",
"Javanese, Banyumasan",
"Javanese, Latin",
