Languages,macroarea
Achomi,
Akoose,
Alsatian,Eurasia
Ambonese Malay,
Arabic,
Arabic (Morocco),
Assyrian (Syria),
Azerbaijani (Azerbaijan),
Balkan Gagauz Turkish,
Balti,Eurasia
Batak Simalungun*,
Buginese (Lontara)*,
Bulgarian,Eurasia
Cape Verdean Creole*,
Catalan,Eurasia
Chinese (Simplified),
Chinese (Traditional),
Chinese (Traditional),
Chokwe (DRC),
Classical Syriac,
Croatian,
Czech,Eurasia
Danish,Eurasia
Dazaga,
Duri,
Dutch,Eurasia
English (Australia),
English (Canada),
English (Great Britain),
English (India),
English (US),
Finnish,Eurasia
French,Eurasia
French (Belgium),
French (Canada),
French (Switzerland),
German,Eurasia
German (Switzerland),
Ghanaian Pidgin,
Greek,
Hawu,
Hebrew,
Hindi,Eurasia
Hindi Transliteration,
Hinglish,
Hungarian,Eurasia
Icelandic,Eurasia
Indonesian,Papunesia
Indus Kohistani,
International Phonetic Alphabet*,
Italian (Italy),
Italian (Switzerland),
Itawit,
Japanese,Eurasia
Jula*,
Kambaata (Ge'ez),
Kambaata (Latin),
Kankanaey,
Korean,Eurasia
Kui,
Ladino (Israel),
Lama,
Latvian,Eurasia
Lepcha*,
Limbu*,
Lithuanian,Eurasia
Macedonian,Eurasia
Makassar Malay,
Malay,Eurasia
Maltese,Eurasia
Mamasa,Papunesia
Mehri,Eurasia
Melanau,Papunesia
Moba,
Mongondow,Papunesia
Muna,Papunesia
Mundang*,
Mundari (Latin),
Mundari (Odia),
Nauruan*,
Norwegian,Eurasia
Ntcham,
Osage*,
Pa'O Karen*,
Pamona,Papunesia
Parkari Koli,
Persian,Eurasia
Plateau Malagasy,
Polish,Eurasia
Portuguese (Brazil),
Portuguese (Portugal),
Réunion Creole,
Romanian,Eurasia
Russian (Russia),
Sebat Bet Gurage,
Serbian,
Serbian (Latin),
Sgaw Karen,
Slovak,Eurasia
Slovenian,
South Bolivian Quechua*,
Spanish,Eurasia
Spanish (Latin America),
Spanish (Mexico),
Spanish (Spain),
Spanish (US),
Sukuma,Africa
Supyire,Africa
Swahili,Africa
Swedish,Eurasia
Sylheti (Syloti Nagri),
Tai Dam (Tai Viet)*,
Tai Lue (New Tai Lue),
Tay,
Toraja-Sa'dan,
Turkish,Eurasia
Ukrainian,Eurasia
Vai*,
Vasavi (Gujarati),
Vietnamese,Eurasia
Wanetsi,
Western Kayah (Kayah Li),
Xong,
Yao,
Yiddish (Israel),
