Language,Input Method,Transliteration,Virtual Keyboard,Handwriting
"<td>
            Afrikaans
          </td>",<td></td>,<td></td>,<td></td>,"<td>
            Handwriting
          </td>"
"<td>
            Albanian
          </td>",<td></td>,<td></td>,"<td>
            Keyboard Albanian
          </td>","<td>
            Handwriting
          </td>"
"<td>
            Amharic
          </td>",<td></td>,"<td>
            Transliteration
          </td>","<td>
            Keyboard Ethiopic
          </td>",<td></td>
"<td>
            Arabic
          </td>",<td></td>,"<td>
            Transliteration
          </td>","<td>
            Keyboard Arabic
          </td>",<td></td>
"<td>
            Armenian
          </td>",<td></td>,<td></td>,"<td>
            Keyboard Armenian Eastern<br/>
            Keyboard Armenian Western
          </td>",<td></td>
"<td>
            Basque
          </td>",<td></td>,<td></td>,"<td>
            Keyboard Basque
          </td>","<td>
            Handwriting
          </td>"
"<td>
            Belarusian
          </td>",<td></td>,"<td>
            Transliteration
          </td>","<td>
            Keyboard Belarusian
          </td>","<td>
            Handwriting
          </td>"
"<td>
            Bengali
          </td>",<td></td>,"<td>
            Transliteration
          </td>","<td>
            Keyboard Bengali Inscript<br/>
            Keyboard Bengali Phonetic
          </td>",<td></td>
"<td>
            Bosnian
          </td>",<td></td>,<td></td>,"<td>
            Keyboard Bosnian
          </td>",<td></td>
"<td>
            Bulgarian
          </td>",<td></td>,"<td>
            Transliteration
          </td>","<td>
            Keyboard Bulgarian<br/>
            Keyboard Bulgarian Phonetic
          </td>","<td>
            Handwriting
          </td>"
"<td>
            Burmese
          </td>",<td></td>,<td></td>,"<td>
            Keyboard Myanmar
          </td>",<td></td>
"<td>
            Catalan
          </td>",<td></td>,<td></td>,"<td>
            Keyboard Catalan
          </td>","<td>
            Handwriting
          </td>"
"<td>
            Cherokee
          </td>",<td></td>,<td></td>,"<td>
            Keyboard Cherokee<br/>
            Keyboard Cherokee Phonetic
          </td>",<td></td>
"<td>
            Chinese (Simplified)
          </td>","<td>
            Pinyin IME<br/>
            Wubi IME
          </td>",<td></td>,<td></td>,"<td>
            Handwriting
          </td>"
"<td>
            Chinese (Traditional)
          </td>","<td>
            Pinyin IME<br/>
            Zhuyin IME<br/>
            Cangjie IME<br/>
            Cantonese IME
          </td>",<td></td>,<td></td>,"<td>
            Handwriting
          </td>"
"<td>
            Croatian
          </td>",<td></td>,<td></td>,"<td>
            Keyboard Croatian
          </td>","<td>
            Handwriting
          </td>"
"<td>
            Czech
          </td>",<td></td>,<td></td>,"<td>
            Keyboard Czech<br/>
            Keyboard Czech Qwertz
          </td>","<td>
            Handwriting
          </td>"
"<td>
            Danish
          </td>",<td></td>,<td></td>,"<td>
            Keyboard Danish
          </td>","<td>
            Handwriting
          </td>"
