Code,Language Name
ca,català
da,dansk
de,Deutsch
en-GB,English (United Kingdom)
es,español
es-419,español (Latinoamérica)
fil,Filipino
fr,français
hr,hrvatski
id,Indonesia
it,italiano
lv,latviešu
lt,lietuvių
hu,magyar
nl,Nederlands
no,norsk
pl,polski
pt,português
pt-BR,português (Brasil)
ro,română
sk,slovenčina
sl,slovenščina
fi,suomi
sv,svenska
vi,Tiếng Việt
tr,Türkçe
cs,čeština
el,Ελληνικά
bg,български
ru,русский
sr,српски
uk,українська
iw,‏עברית
ur,‏اردو
ar,‏العربية
hi,हिन्दी
bn,বাংলা
th,ไทย
zh-Hans,中文（简体）
zh-Hant,中文（繁體）
ja,日本語
ko,한국어
en,English
