,Code,Language Name,macroarea
0,ca,català,
1,da,dansk,
2,de,Deutsch,
3,en-GB,English (United Kingdom),
4,es,español,
5,es-419,español (Latinoamérica),
6,fil,Filipino,
7,fr,français,
8,hr,hrvatski,
9,id,Indonesia,
10,it,italiano,
11,lv,latviešu,
12,lt,lietuvių,
13,hu,magyar,
14,nl,Nederlands,
15,no,norsk,
16,pl,polski,
17,pt,português,
18,pt-BR,português (Brasil),
19,ro,română,
20,sk,slovenčina,
21,sl,slovenščina,
22,fi,suomi,
23,sv,svenska,
24,vi,Tiếng Việt,
25,tr,Türkçe,
26,cs,čeština,
27,el,Ελληνικά,
28,bg,български,
29,ru,русский,
30,sr,српски,
31,uk,українська,
32,iw,‏עברית,
33,ur,‏اردو,
34,ar,‏العربية,
35,hi,हिन्दी,
36,bn,বাংলা,
37,th,ไทย,
38,zh-Hans,中文（简体）,
39,zh-Hant,中文（繁體）,
40,ja,日本語,
41,ko,한국어,
42,en,English,Eurasia
