Code,Language Name,Language family.1,ISO language name
ca,català,Indo-European,"Catalan, Valencian"
da,dansk,Indo-European,Danish
de,Deutsch,Indo-European,German
en-GB,English (United Kingdom),,
es,español,Indo-European,"Spanish, Castilian"
es-419,español (Latinoamérica),,
fil,Filipino,,
fr,français,Indo-European,French
hr,hrvatski,Indo-European,Croatian
id,Indonesia,Austronesian,Indonesian
it,italiano,Indo-European,Italian
lv,latviešu,Indo-European,Latvian
lt,lietuvių,Indo-European,Lithuanian
hu,magyar,Uralic,Hungarian
nl,Nederlands,Indo-European,"Dutch, Flemish"
no,norsk,Indo-European,Norwegian
pl,polski,Indo-European,Polish
pt,português,Indo-European,Portuguese
pt-BR,português (Brasil),,
ro,română,Indo-European,"Romanian, Moldavian, Moldovan"
sk,slovenčina,Indo-European,Slovak
sl,slovenščina,Indo-European,Slovenian
fi,suomi,Uralic,Finnish
sv,svenska,Indo-European,Swedish
vi,Tiếng Việt,Austroasiatic,Vietnamese
tr,Türkçe,Turkic,Turkish
cs,čeština,Indo-European,Czech
el,Ελληνικά,Indo-European,"Greek, Modern (1453–)"
bg,български,Indo-European,Bulgarian
ru,русский,Indo-European,Russian
sr,српски,Indo-European,Serbian
uk,українська,Indo-European,Ukrainian
iw,‏עברית,,
ur,‏اردو,Indo-European,Urdu
ar,‏العربية,Afro-Asiatic,Arabic
hi,हिन्दी,Indo-European,Hindi
bn,বাংলা,Indo-European,Bengali
th,ไทย,Tai–Kadai,Thai
zh-Hans,中文（简体）,,
zh-Hant,中文（繁體）,,
ja,日本語,Japonic,Japanese
ko,한국어,Koreanic,Korean
en,English,Indo-European,English
